companyid,companyname,ticker,price,p_l,p_vp,p_ebit,p_ativo,ev_ebit,margembruta,margemebit,margemliquida,p_sr,p_capitalgiro,p_ativocirculante,giroativos,roe,roa,roic,dividaliquidapatrimonioliquido,dividaliquidaebit,pl_ativo,passivo_ativo,liquidezcorrente,peg_ratio,receitas_cagr5,liquidezmediadiaria,vpa,lpa,valormercado,segmentid,sectorid,subsectorid,subsectorname,segmentname,sectorname,dy,lucros_cagr5
348,524 PARTICIPACOES S.A.,QVQP3B,0.28,-63883.56,100388.46,-59384.72,100388.46,-59384.16,,,,,100388.46,,0.0,-157.14,-157.14,-169.05,-0.94,0.56,1.0,0.0,,-20442.74,,0.0,0.0,0.0,8432630320.52,57,4,25,Outros,Outros,Financeiro e Outros,,
420,RAIA DROGASIL S.A.,RADL3,23.04,30.08,5.77,15.9,1.69,16.98,29.34,6.01,3.18,0.96,10.4,-4.01,1.77,19.19,5.63,22.56,0.39,1.08,0.29,0.71,1.39,1.44,17.22,206349298.48,3.99,0.77,40374543605.76,77,7,36,Comércio e Distribuição,Medicamentos e Outros Produtos,Saúde,1.95,11.69
207,RUMO S.A.,RAIL3,14.73,73.28,1.98,6.56,0.53,10.48,45.83,29.88,2.68,1.96,7.6,-0.64,0.27,2.71,0.72,9.34,1.18,3.91,0.27,0.73,1.66,-0.48,14.48,299349493.57,7.43,0.2,27380545528.41,16,1,6,Transporte,Transporte Ferroviário,Bens Industriais,5.5,-13.65
798,RAIZEN S.A.,RAIZ4,0.81,-0.9,0.46,-76.2,0.06,-500.53,4.03,-0.05,-3.89,0.04,0.55,-0.11,1.69,-51.13,-6.59,-0.66,2.57,-424.33,0.13,0.87,1.33,0.0,20.39,18397334.0,1.76,-0.9,8385532682.04,76,6,35,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,Petróleo. Gás e Biocombustíveis,,
374,Irani Papel e Embalagem S.A.,RANI3,8.68,5.13,1.4,4.66,0.53,7.17,41.53,25.36,23.03,1.18,2.44,-0.79,0.45,27.22,10.32,12.02,0.75,2.51,0.38,0.62,2.85,0.02,12.61,5515016.57,6.22,1.69,2000750580.92,63,5,29,Embalagens,Embalagens,Materiais Básicos,8.45,
374,Irani Papel e Embalagem S.A.,RANI4,5.5,3.25,0.88,2.95,0.34,7.17,41.53,25.36,23.03,0.75,1.55,-0.5,0.45,27.22,10.32,12.02,0.75,2.51,0.38,0.62,2.85,0.02,12.61,,6.22,1.69,2000750580.92,63,5,29,Embalagens,Embalagens,Materiais Básicos,,
194,RANDON S.A. IMPLEMENTOS E PARTICIPACOES,RAPT3,5.69,20.24,0.61,1.73,0.11,7.55,25.86,8.7,0.75,0.15,0.36,-0.23,0.72,2.99,0.53,8.18,2.04,5.84,0.18,0.74,2.23,-0.28,18.53,141317.48,9.39,0.28,1963067450.03,11,1,4,Material de Transporte,Material Rodoviário,Bens Industriais,0.82,-16.86
194,RANDON S.A. IMPLEMENTOS E PARTICIPACOES,RAPT4,5.57,19.81,0.59,1.7,0.11,7.55,25.86,8.7,0.75,0.15,0.36,-0.23,0.72,2.99,0.53,8.18,2.04,5.84,0.18,0.74,2.23,-0.28,18.53,25887601.48,9.39,0.28,1963067450.03,11,1,4,Material de Transporte,Material Rodoviário,Bens Industriais,0.84,-16.86
195,RECRUSUL S.A.,RCSL3,2.24,-3.48,-2.62,-4.75,1.85,-9.44,-2.33,-459.38,-627.21,21.82,-3.05,-2.85,0.08,-75.38,-53.13,55.2,,0.01,-0.7,1.7,0.37,-0.06,1.25,2305580.38,-0.85,-0.64,141739470.5,11,1,4,Material de Transporte,Material Rodoviário,Bens Industriais,,
195,RECRUSUL S.A.,RCSL4,5.57,-8.65,-6.52,-11.81,4.6,-9.44,-2.33,-459.38,-627.21,54.25,-7.59,-7.1,0.08,-75.38,-53.13,55.2,,0.01,-0.7,1.7,0.37,-0.14,1.25,21398464.48,-0.85,-0.64,141739470.5,11,1,4,Material de Transporte,Material Rodoviário,Bens Industriais,,
240,RNI NEGÓCIOS IMOBILIÁRIOS S.A.,RDNI3,2.14,-0.6,0.56,-1.01,0.08,-5.98,15.15,-25.1,-42.52,0.25,0.4,-0.17,0.31,-94.52,-13.32,-15.48,2.77,-4.96,0.14,0.84,1.61,0.01,11.1,20415.27,3.79,-3.58,93667389.12,23,2,9,Construção Civil,Incorporações,Consumo Cíclico,,
657,REDE D OR SÃO LUIZ S.A.,RDOR3,41.45,21.37,3.6,10.56,0.86,10.52,21.02,16.58,8.19,1.75,2.41,-1.83,0.49,16.87,4.04,11.76,-0.01,-0.03,0.24,0.74,3.11,1.05,30.58,287465197.24,11.5,1.94,94891177855.5,80,7,39,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,Saúde,10.36,30.64
772,PETRORECÔNCAVO S.A.,RECV3,11.12,5.26,0.72,3.89,0.41,5.64,33.99,25.45,18.81,0.99,4.38,-0.5,0.42,13.59,7.85,9.43,0.32,1.75,0.58,0.42,2.16,1.1,57.21,40508234.86,15.55,2.11,3263410041.12,76,6,35,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,Petróleo. Gás e Biocombustíveis,8.09,57.65
477,REDE ENERGIA PARTICIPAÇÕES S.A.,REDE3,6.28,11.39,3.88,4.53,0.49,8.75,25.11,18.29,7.28,0.83,6.87,-0.66,0.59,34.03,4.32,13.82,3.61,4.22,0.13,0.81,1.38,-1.22,9.82,18817.9,1.62,0.55,16128322620.92,85,10,44,Energia Elétrica,Energia Elétrica,Utilidade Pública,5.83,14.75
246,LOCALIZA RENT A CAR S.A.,RENT3,44.89,27.4,1.93,6.52,0.59,10.94,26.25,18.34,4.37,1.2,7.84,-0.77,0.49,7.06,2.13,9.72,1.31,4.41,0.3,0.7,1.45,4.99,29.6,458002974.24,23.22,1.64,48598844120.8,24,2,10,Diversos,Aluguel de carros,Consumo Cíclico,4.44,16.29
204,COSAN LOGISTICA S.A.,RLOG3,23.08,82.76,4.26,5.17,0.23,12.09,34.71,29.67,1.85,1.53,1.49,-0.31,0.15,5.15,0.28,5.46,5.71,6.92,0.05,0.71,2.64,-2.42,50.58,,5.41,0.28,10691215482.28,16,1,6,Transporte,Transporte Ferroviário,Bens Industriais,,4.37
478,RENOVA ENERGIA S.A.,RNEW11,3.23,-2.36,0.32,-13.12,0.13,-34.31,-10.2,-6.53,-36.23,0.86,-2.32,-0.15,0.16,-13.6,-5.71,-2.63,0.52,-21.19,0.42,0.58,0.58,0.01,21.43,1615.0,10.05,-1.37,401720052.67,85,10,44,Energia Elétrica,Energia Elétrica,Utilidade Pública,,
478,RENOVA ENERGIA S.A.,RNEW3,0.93,-2.04,0.28,-11.33,0.12,-34.31,-10.2,-6.53,-36.23,0.74,-2.0,-0.13,0.16,-13.6,-5.71,-2.63,0.52,-21.19,0.42,0.58,0.58,0.01,21.43,30415.33,3.35,-0.46,401720052.67,85,10,44,Energia Elétrica,Energia Elétrica,Utilidade Pública,,
478,RENOVA ENERGIA S.A.,RNEW4,0.87,-1.91,0.26,-10.6,0.11,-34.31,-10.2,-6.53,-36.23,0.69,-1.87,-0.12,0.16,-13.6,-5.71,-2.63,0.52,-21.19,0.42,0.58,0.58,0.01,21.43,63324.29,3.35,-0.46,401720052.67,85,10,44,Energia Elétrica,Energia Elétrica,Utilidade Pública,,
182,INDUSTRIAS ROMI S.A.,ROMI3,8.15,7.93,0.62,8.57,0.29,14.74,27.12,6.38,6.89,0.55,0.96,-0.73,0.54,7.79,3.72,3.79,0.44,6.17,0.48,0.52,2.07,-0.36,9.77,1251175.71,13.19,1.03,759341588.05,8,1,3,Máquinas e Equipamentos,Máq. e Equip. Industriais,Bens Industriais,6.63,-5.88
324,ALFA HOLDINGS S.A.,RPAD3,5.34,28.1,0.45,87.42,0.44,77.64,,,,,3.57,-0.51,0.0,1.6,1.58,0.03,-0.13,-25.11,0.99,0.01,20.16,-0.23,,1059.0,11.87,0.19,531478122.31,54,4,24,Intermediários Financeiros,Bancos,Financeiro e Outros,0.18,-17.01
324,ALFA HOLDINGS S.A.,RPAD5,7.39,38.89,0.62,120.97,0.61,77.64,,,,,4.94,-0.71,0.0,1.6,1.58,0.03,-0.13,-25.11,0.99,0.01,20.16,-0.32,,7987.43,11.87,0.19,531478122.31,54,4,24,Intermediários Financeiros,Bancos,Financeiro e Outros,8.37,-17.01
324,ALFA HOLDINGS S.A.,RPAD6,5.0,26.31,0.42,81.85,0.42,77.64,,,,,3.34,-0.48,0.0,1.6,1.58,0.03,-0.13,-25.11,0.99,0.01,20.16,-0.22,,500.0,11.87,0.19,531478122.31,54,4,24,Intermediários Financeiros,Bancos,Financeiro e Outros,0.19,-17.01
410,REFINARIA DE PETROLEOS MANGUINHOS S.A.,RPMG3,2.13,-0.09,-0.02,-0.08,0.01,-0.05,-14.43,-20.96,-19.19,0.02,-0.05,-0.31,0.84,-22.32,-16.12,24.36,,0.03,-0.72,1.72,0.76,0.0,42.58,16805.22,-109.81,-24.51,144183169.77,76,6,35,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,Petróleo. Gás e Biocombustíveis,,
241,ROSSI RESIDENCIAL S.A.,RSID3,1.69,0.12,-0.04,-0.13,0.07,-1.47,28.74,-311.91,327.6,0.41,-0.11,-0.14,0.17,-28.42,54.91,101.17,,-1.34,-1.93,2.93,0.45,0.0,-41.82,21743.1,-47.95,13.63,34260024.76,23,2,9,Construção Civil,Incorporações,Consumo Cíclico,,
193,METALURGICA RIOSULENSE S.A.,RSUL3,0.0,0.0,0.0,0.0,0.0,1.25,41.53,22.29,15.48,0.0,0.0,0.0,0.96,23.91,14.93,13.41,-0.18,-0.53,0.62,0.38,2.6,0.0,17.77,,45.12,10.79,168427687.5,11,1,4,Material de Transporte,Material Rodoviário,Bens Industriais,,30.5
193,METALURGICA RIOSULENSE S.A.,RSUL4,67.5,6.26,1.5,4.35,0.93,1.25,41.53,22.29,15.48,0.97,2.65,-2.18,0.96,23.91,14.93,13.41,-0.18,-0.53,0.62,0.38,2.6,0.34,17.77,79512.1,45.12,10.79,168427687.5,11,1,4,Material de Transporte,Material Rodoviário,Bens Industriais,,30.5
343,BCO SANTANDER (BRASIL) S.A.,SANB11,34.28,11.07,1.04,8.13,0.1,8.13,37.88,10.1,7.42,0.82,-0.17,-0.1,0.12,9.37,0.92,,,,0.1,0.9,0.03,6.05,13.5,97145286.52,33.03,3.1,128524822214.14,54,4,24,Intermediários Financeiros,Bancos,Financeiro e Outros,5.47,-6.94
343,BCO SANTANDER (BRASIL) S.A.,SANB3,16.75,10.82,1.01,7.95,0.1,8.13,37.88,10.1,7.42,0.8,-0.17,-0.1,0.12,9.37,0.92,,,,0.1,0.9,0.03,5.91,13.5,1018508.86,16.52,1.55,128524822214.14,54,4,24,Intermediários Financeiros,Bancos,Financeiro e Outros,5.33,-6.94
343,BCO SANTANDER (BRASIL) S.A.,SANB4,17.58,11.36,1.06,8.34,0.1,8.13,37.88,10.1,7.42,0.84,-0.17,-0.11,0.12,9.37,0.92,,,,0.1,0.9,0.03,6.21,13.5,1660325.43,16.52,1.55,128524822214.14,54,4,24,Intermediários Financeiros,Bancos,Financeiro e Outros,5.59,-6.94
443,CIA SANEAMENTO DO PARANA - SANEPAR,SAPR11,39.53,5.61,0.99,5.06,0.46,5.65,56.51,33.28,30.05,1.68,7.38,-0.65,0.27,17.71,8.2,12.11,0.11,0.58,0.46,0.54,1.28,0.13,7.71,60089899.57,39.81,7.05,11947590833.21,84,10,43,Água e Saneamento,Água e Saneamento,Utilidade Pública,5.59,14.56
443,CIA SANEAMENTO DO PARANA - SANEPAR,SAPR3,8.78,6.23,1.1,5.62,0.51,5.65,56.51,33.28,30.05,1.87,8.2,-0.72,0.27,17.71,8.2,12.11,0.11,0.58,0.46,0.54,1.28,0.15,7.71,1286225.14,7.96,1.41,11947590833.21,84,10,43,Água e Saneamento,Água e Saneamento,Utilidade Pública,4.66,14.56
443,CIA SANEAMENTO DO PARANA - SANEPAR,SAPR4,7.69,5.45,0.97,4.92,0.45,5.65,56.51,33.28,30.05,1.64,7.18,-0.63,0.27,17.71,8.2,12.11,0.11,0.58,0.46,0.54,1.28,0.13,7.71,8146702.14,7.96,1.41,11947590833.21,84,10,43,Água e Saneamento,Água e Saneamento,Utilidade Pública,5.85,14.56
483,GRUPO SBF SA,SBFG3,12.89,9.4,1.06,5.77,0.35,9.9,48.5,7.3,4.48,0.42,2.17,-0.74,0.82,11.26,3.7,8.56,0.76,4.13,0.33,0.67,1.44,-0.26,22.95,44867218.9,12.18,1.37,3152318203.7,21,2,8,Comércio,Produtos Diversos,Consumo Cíclico,4.25,1.58
441,CIA SANEAMENTO BASICO EST SAO PAULO,SBSP3,134.05,13.08,2.21,8.99,0.98,11.2,38.46,30.29,20.81,2.72,37.64,-1.2,0.36,16.88,7.51,6.21,0.54,2.22,0.44,0.56,1.17,-0.58,14.98,485758273.95,60.69,10.25,94340887139.45,84,10,43,Água e Saneamento,Água e Saneamento,Utilidade Pública,4.75,16.45
314,SAO CARLOS EMPREEND E PARTICIPACOES S.A.,SCAR3,13.26,-12.52,0.51,10.67,0.27,21.08,40.14,18.07,-15.41,1.93,1.49,-0.36,0.14,-4.06,-2.13,1.75,0.5,10.41,0.52,0.47,3.3,0.1,6.45,8529883.86,26.06,-1.06,765596849.94,51,4,22,Exploração de Imóveis,Exploração de Imóveis,Financeiro e Outros,66.71,
255,SOMOS EDUCAÇÃO S.A.,SEDU3,23.8,-13.36,15.0,-21.89,1.53,-27.94,48.36,-15.73,-25.77,3.44,57.9,-2.27,0.44,-112.29,-11.46,-13.15,4.15,-6.05,0.1,0.9,1.09,0.01,12.49,,1.59,-1.78,6238667820.0,26,2,10,Diversos,Serviços Educacionais,Consumo Cíclico,,
254,SER EDUCACIONAL S.A.,SEER3,9.53,11.19,0.92,3.57,0.37,5.05,58.35,15.85,5.06,0.57,6.02,-0.51,0.65,8.25,3.27,14.93,0.38,1.48,0.4,0.6,1.27,0.05,9.2,12097699.62,10.32,0.85,1226716466.8,26,2,10,Diversos,Serviços Educacionais,Consumo Cíclico,1.62,-4.26
639,SEQUOIA LOGISTICA E TRANSPORTES S.A,SEQL3,2.78,-0.03,-0.06,-0.03,0.04,-0.94,-2.03,-112.24,-113.32,0.04,-0.09,-0.04,0.95,-167.96,-107.75,-689.3,,-0.9,-0.64,1.79,0.24,0.0,7.84,780504.67,-47.91,-80.46,31644703.86,108,1,6,Transporte,Logística,Bens Industriais,,
268,SPRINGS GLOBAL PARTICIPACOES S.A.,SGPS3,1.64,-0.02,-0.02,-0.04,0.01,-2.34,-1.74,-85.8,-176.86,0.03,-0.01,-0.01,0.21,-106.45,-36.82,-192.78,,-2.3,-0.35,1.35,0.27,-0.01,-12.92,0.0,-81.2,-86.44,16400000.0,33,2,13,Tecidos. Vestuário e Calçados,Fios e Tecidos,Consumo Cíclico,,
489,T4F ENTRETENIMENTO S.A.,SHOW3,5.76,-0.64,0.38,-0.94,0.1,0.34,33.66,-28.0,-41.31,0.26,0.86,-0.25,0.37,-59.45,-15.42,-26.39,-0.51,1.27,0.26,0.74,1.23,0.0,-15.9,312861.95,15.24,-9.06,38829669.12,40,2,15,Viagens e Lazer,Produção de Eventos e Shows,Consumo Cíclico,,
188,SCHULZ S.A.,SHUL3,27.31,37.39,6.28,38.25,3.34,20.02,24.97,12.75,13.04,4.88,7.75,-9.69,0.69,16.8,8.94,9.82,-0.08,-0.51,0.53,0.47,2.93,-9.27,12.91,0.0,4.35,0.73,5238479508.36,9,1,3,Máquinas e Equipamentos,Motores . Compressores e Outros,Bens Industriais,1.1,21.85
188,SCHULZ S.A.,SHUL4,5.22,7.15,1.2,7.31,0.64,20.02,24.97,12.75,13.04,0.93,1.48,-1.85,0.69,16.8,8.94,9.82,-0.08,-0.51,0.53,0.47,2.93,-1.77,12.91,1874949.71,4.35,0.73,5238479508.36,9,1,3,Máquinas e Equipamentos,Motores . Compressores e Outros,Bens Industriais,6.18,21.85
210,SIMPAR S.A.,SIMH3,5.22,-7.14,1.45,0.64,0.05,6.99,26.19,16.34,-1.48,0.11,0.59,-0.08,0.51,-20.27,-0.76,10.91,14.23,6.34,0.04,0.93,1.37,-0.08,33.49,41764856.1,3.61,-0.73,4557271582.26,53,4,23,Holdings Diversificadas,Holdings Diversificadas,Financeiro e Outros,1.35,
283,SLC AGRICOLA S.A.,SLCE3,16.15,10.89,1.36,3.83,0.35,7.02,30.55,19.65,6.91,0.75,2.25,-0.62,0.46,12.49,3.2,11.65,1.13,3.19,0.26,0.74,1.55,0.17,20.74,34402388.76,11.88,1.48,7159774913.4,42,3,16,Agropecuária,Agricultura,Consumo não Cíclico,8.99,16.12
220,SARAIVA S.A. LIVREIROS EDITORES,SLED3,3.21,0.45,-0.08,0.56,0.48,0.95,47.85,73.94,92.71,0.42,-0.2,-0.72,1.15,-18.07,107.04,-15.91,,0.65,-5.92,6.92,0.12,-0.02,-45.03,,-39.57,7.15,16497692.59,21,2,8,Comércio,Produtos Diversos,Consumo Cíclico,,
220,SARAIVA S.A. LIVREIROS EDITORES,SLED4,1.6,0.22,-0.04,0.28,0.24,0.95,47.85,73.94,92.71,0.21,-0.1,-0.36,1.15,-18.07,107.04,-15.91,,0.65,-5.92,6.92,0.12,-0.01,-45.03,,-39.57,7.15,16497692.59,21,2,8,Comércio,Produtos Diversos,Consumo Cíclico,,
569,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,23.32,23.65,2.43,8.72,0.73,10.81,42.45,23.37,8.62,2.04,10.38,-0.94,0.36,10.29,3.08,12.48,0.58,2.09,0.3,0.7,1.46,-0.68,22.98,124101227.9,9.58,0.99,13927871235.96,101,2,15,Viagens e Lazer,Atividades Esportivas,Consumo Cíclico,4.47,
249,SMILES FIDELIDADE S.A.,SMLS3,22.4,10.78,4.09,10.17,1.02,9.93,85.18,41.42,39.07,4.21,18.78,-2.54,0.24,37.96,9.43,20.63,-0.1,-0.24,0.25,0.75,1.1,-0.33,,,5.47,2.08,2781160547.2,25,2,10,Diversos,Programas de Fidelização,Consumo Cíclico,,
286,SAO MARTINHO S.A.,SMTO3,15.35,10.16,0.76,3.63,0.23,9.19,23.33,19.67,7.02,0.71,1.37,-0.33,0.33,7.5,2.31,7.17,1.17,5.57,0.31,0.69,2.43,-0.18,14.16,49506318.14,20.15,1.51,5102883251.85,43,3,17,Alimentos Processados,Açucar e Alcool,Consumo não Cíclico,2.97,-4.7
380,SANSUY S.A. INDUSTRIA DE PLASTICOS,SNSY3,11.01,-0.41,-0.04,0.9,0.15,3.16,20.94,9.51,-21.18,0.09,-0.63,-0.35,1.72,-9.63,-36.46,-4.82,,2.7,-3.79,4.82,0.71,0.0,15.69,6602.0,-281.46,-27.09,43275688.8,66,5,31,Materiais Diversos,Materiais Diversos,Materiais Básicos,,
380,SANSUY S.A. INDUSTRIA DE PLASTICOS,SNSY5,2.77,-0.1,-0.01,0.23,0.04,3.16,20.94,9.51,-21.18,0.02,-0.16,-0.09,1.72,-9.63,-36.46,-4.82,,2.7,-3.79,4.82,0.71,0.0,15.69,6780.94,-281.46,-27.09,43275688.8,66,5,31,Materiais Diversos,Materiais Diversos,Materiais Básicos,,
380,SANSUY S.A. INDUSTRIA DE PLASTICOS,SNSY6,11.51,-0.42,-0.04,0.95,0.15,3.16,20.94,9.51,-21.18,0.09,-0.66,-0.37,1.72,-9.63,-36.46,-4.82,,2.7,-3.79,4.82,0.71,0.0,15.69,0.0,-281.46,-27.09,43275688.8,66,5,31,Materiais Diversos,Materiais Diversos,Materiais Básicos,,
768,BOA SAFRA SEMENTES S.A.,SOJA3,8.98,12.58,0.92,7.19,0.31,9.44,13.25,7.56,4.32,0.54,0.65,-0.92,0.57,7.28,2.47,4.83,0.29,2.25,0.34,0.5,3.67,-0.2,35.41,8163973.81,9.8,0.71,1274286138.24,42,3,16,Agropecuária,Agricultura,Consumo não Cíclico,4.96,30.59
614,GRUPO DE MODA SOMA S.A.,SOMA3,5.95,2.96,0.8,-1.87,0.49,-2.32,56.8,-46.46,29.33,0.87,2.01,-0.84,0.56,27.15,16.44,-47.2,0.19,-0.45,0.61,0.39,2.36,0.01,37.72,99716529.0,7.4,2.01,4669246869.35,22,2,8,Comércio,Tecidos. Vestuário e Calçados,Consumo Cíclico,,80.87
165,SONDOTECNICA ENGENHARIA SOLOS S.A.,SOND3,48.0,4.25,1.63,3.08,0.97,3.31,30.19,17.34,12.59,0.53,3.13,-2.38,1.82,38.39,22.87,20.76,-0.48,-0.91,0.6,0.4,2.1,0.03,25.49,2400.0,29.44,11.3,161230500.0,3,1,2,Construção e Engenharia,Engenharia Consultiva,Bens Industriais,29.71,44.65
165,SONDOTECNICA ENGENHARIA SOLOS S.A.,SOND5,75.0,6.64,2.55,4.82,1.52,3.31,30.19,17.34,12.59,0.84,4.89,-3.72,1.82,38.39,22.87,20.76,-0.48,-0.91,0.6,0.4,2.1,0.05,25.49,30670.0,29.44,11.3,161230500.0,3,1,2,Construção e Engenharia,Engenharia Consultiva,Bens Industriais,20.91,44.65
165,SONDOTECNICA ENGENHARIA SOLOS S.A.,SOND6,68.0,6.02,2.31,4.37,1.38,3.31,30.19,17.34,12.59,0.76,4.43,-3.37,1.82,38.39,22.87,20.76,-0.48,-0.91,0.6,0.4,2.1,0.04,25.49,7872.75,29.44,11.3,161230500.0,3,1,2,Construção e Engenharia,Engenharia Consultiva,Bens Industriais,23.07,44.65
354,LONGDIS S.A.,SPRT3B,76.4,-1741.06,3849.08,-1739.0,3749.56,-1738.54,,,,,3849.08,,0.0,-221.08,-215.36,-221.34,-1.02,0.46,0.97,0.03,38.68,-47.21,,,0.02,-0.04,370531748.8,57,4,25,Outros,Outros,Financeiro e Outros,,
434,SINQIA S.A.,SQIA3,27.37,-110.33,3.7,55.72,1.49,60.18,42.19,6.45,-3.26,3.59,25.87,-1.84,0.41,-3.35,-1.35,2.68,0.3,4.46,0.4,0.58,1.43,0.62,35.51,,7.4,-0.25,2406971773.64,82,8,41,Programas e Serviços,Programas e Serviços,Tecnologia da Informação,,
835,SERENA ENERGIA S.A.,SRNA3,12.62,151.28,1.46,6.07,0.39,14.27,24.35,20.77,0.83,1.26,-8.87,-0.46,0.31,0.96,0.26,6.76,1.97,8.21,0.27,0.73,0.78,-2.0,,6704467.0,8.65,0.08,7858859616.72,85,10,44,Energia Elétrica,Energia Elétrica,Utilidade Pública,,
200,SANTOS BRASIL PARTICIPACOES S.A.,STBP3,14.42,15.02,12.06,7.94,2.14,9.11,57.55,45.15,23.87,3.59,38.33,-2.75,0.6,80.31,14.23,24.76,1.78,1.17,0.18,0.82,1.33,1.66,24.45,3082209.0,1.2,0.96,12461336720.98,14,1,6,Transporte,Serviços de Apoio e Armazenagem,Bens Industriais,2.21,122.03
570,STATKRAFT ENERGIAS RENOVAVEIS S.A.,STKF3,0.0,0.0,0.0,0.0,0.0,3.27,54.65,36.95,23.68,0.0,0.0,0.0,0.13,4.97,3.15,4.97,0.25,3.27,0.63,0.37,3.14,0.0,24.6,,8.19,0.41,0.0,101,2,15,Viagens e Lazer,Atividades Esportivas,Consumo Cíclico,,27.74
179,STARA S.A. - INDÚSTRIA DE IMPLEMENTOS AGRÍCOLAS,STTR3,0.0,0.0,0.0,0.0,0.0,-0.22,31.37,17.25,14.11,0.0,0.0,0.0,1.27,32.1,17.86,21.15,-0.09,-0.22,0.56,0.44,2.46,0.0,22.02,,2.91,0.94,0.0,7,1,3,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas,Bens Industriais,,
362,SUL AMERICA S.A.,SULA11,20.76,48.73,1.06,-12.06,0.29,7.41,4.25,-3.34,0.83,0.4,0.79,-0.85,0.73,2.17,0.6,-9.49,-1.71,19.47,0.28,0.72,2.29,-0.88,4.58,313020093.0,19.64,0.43,8840533965.2,59,4,26,Previdência e Seguros,Seguradoras,Financeiro e Outros,,-23.56
362,SUL AMERICA S.A.,SULA3,7.43,52.32,1.13,-12.95,0.31,7.41,4.25,-3.34,0.83,0.43,0.85,-0.91,0.73,2.17,0.6,-9.49,-1.71,19.47,0.28,0.72,2.29,-0.95,4.58,,6.55,0.14,8840533965.2,59,4,26,Previdência e Seguros,Seguradoras,Financeiro e Outros,,-23.56
362,SUL AMERICA S.A.,SULA4,7.63,53.73,1.17,-13.3,0.32,7.41,4.25,-3.34,0.83,0.44,0.88,-0.93,0.73,2.17,0.6,-9.49,-1.71,19.47,0.28,0.72,2.29,-0.97,4.58,,6.55,0.14,8840533965.2,59,4,26,Previdência e Seguros,Seguradoras,Financeiro e Outros,,-23.56
378,SUZANO S.A.,SUZB3,51.68,9.97,1.45,5.67,0.4,11.69,34.44,22.51,12.8,1.28,2.23,-0.54,0.31,14.52,3.98,1.67,1.54,6.02,0.27,0.72,3.2,0.18,12.75,403998857.33,35.69,5.18,65329598343.2,65,5,30,Madeira e Papel,Papel e Celulose,Materiais Básicos,2.16,
307,SYN PROP E TECH S.A.,SYNE3,5.02,6.48,1.05,4.35,0.32,5.24,53.31,54.54,36.6,2.37,6.31,-0.38,0.14,16.18,5.01,6.52,0.21,0.89,0.31,0.4,1.51,-0.09,23.59,3912766.33,4.79,0.77,766275113.9,51,4,22,Exploração de Imóveis,Exploração de Imóveis,Financeiro e Outros,17.49,29.23
480,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,TAEE11,41.36,8.27,1.86,4.88,0.65,8.06,57.72,64.68,38.21,3.16,10.5,-0.77,0.21,22.54,7.9,15.75,1.21,3.17,0.35,0.65,1.67,3.76,15.68,96186026.24,22.19,5.0,14248474793.52,85,10,44,Energia Elétrica,Energia Elétrica,Utilidade Pública,7.81,11.46
480,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,TAEE3,13.68,8.2,1.85,4.85,0.65,8.06,57.72,64.68,38.21,3.13,10.42,-0.77,0.21,22.54,7.9,15.75,1.21,3.17,0.35,0.65,1.67,3.73,15.68,981649.19,7.4,1.67,14248474793.52,85,10,44,Energia Elétrica,Energia Elétrica,Utilidade Pública,7.87,11.46
480,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,TAEE4,13.88,8.32,1.88,4.92,0.66,8.06,57.72,64.68,38.21,3.18,10.57,-0.78,0.21,22.54,7.9,15.75,1.21,3.17,0.35,0.65,1.67,3.78,15.68,1931642.05,7.4,1.67,14248474793.52,85,10,44,Energia Elétrica,Energia Elétrica,Utilidade Pública,7.76,11.46
177,TAURUS ARMAS S.A.,TASA3,4.98,5.61,0.54,4.65,0.28,8.35,34.73,9.77,8.1,0.45,1.46,-0.64,0.61,9.56,4.97,5.83,0.45,3.87,0.52,0.48,1.51,0.1,10.85,119809.33,9.29,0.89,669005178.5,6,1,3,Máquinas e Equipamentos,Armas e Munições,Bens Industriais,4.07,23.3
177,TAURUS ARMAS S.A.,TASA4,4.7,5.29,0.51,4.39,0.26,8.35,34.73,9.77,8.1,0.43,1.38,-0.6,0.61,9.56,4.97,5.83,0.45,3.87,0.52,0.48,1.51,0.09,10.85,1588347.48,9.29,0.89,669005178.5,6,1,3,Máquinas e Equipamentos,Armas e Munições,Bens Industriais,4.31,23.3
166,TECNOSOLO ENGENHARIA S.A.,TCNO3,1.2,-7.52,-8.4,-6.81,0.03,-34.51,,,,,-0.08,-0.04,0.0,-111.63,-0.45,-3.55,,-28.98,0.0,1.0,0.28,-0.28,,,-0.14,-0.16,6451072.5,3,1,2,Construção e Engenharia,Engenharia Consultiva,Bens Industriais,,
